Name;EmailAddress;Website;Telf_1;Address;NearTown;PostalCode;Province
Alannia Costa Blanca;reservas@alannia.com;https://alanniaresorts.com/es/resorts/alannia-costa-blanca;;salida, 730, AP-7;Crevillent;3330;Alicante
Alannia Costa Dorada;reservas@alannia.com;https://alanniaresorts.com/es/resorts/alannia-costa-dorada;;Playa de la Almadraba Ctra. N-340, Km. 1.121 Almadrava;Tarragona;43890;Tarragona
Alannia Guardamar;reservas@alannia.com;https://alanniaresorts.com/es/resorts/alannia-guardamar;;Carrer Alacant, Km. 73,4, 332;Guardamar del Segura;3140;Alicante
Alannia Salou;reservas@alannia.com;https://alanniaresorts.com/es/resorts/alannia-salou;;Av. de Pompeu Fabra 37;Salou;43840;Tarragona
Almafrá Gran Confort;info@campingalmafra.es;https://www.campingalmafra.es/;;Partida de Cabut, 25;L'Alfàs del Pi;3503;Alicante
Bonterra Resort - Camping & Bungalows;info@bonterraresort.com;https://bonterraresort.com/;;Av. Barcelona, 47, Coordenadas GPS Latitud: 40.056905 | Longitud: 0.073913;Benicasim/Benicàssim;12560;Castellón
BravoPlaya Camping-Resort;camping@bravoplaya.com;https://www.bravoplaya.com/;;Avenida Camí L'Atall 44;Torre de La Sal;12595;Castellón
Camper Park Playas de Luz;islacristina@camperpark.es;https://camperpark.es/;;The Station neighborhood s/n;Pozo del Camino Isla Cristina;21420;Huelva
Camping & Bungalows Zumaia;info@campingzumaia.com;https://www.campingzumaia.com;;Basusta bidea 16;Zumaia;20750;Gipuzkoa
Camping 3 Estrellas - Barcelona;;https://www.tresestrellascampings.com/barcelona/;;C-31, KM186,2 (Dirección aeropuerto, Autovia de Castelldefels);Gavà;8850;Barcelona
Camping 3 Estrellas - Costa Brava;;https://www.tresestrellascampings.com/costa-brava/;;C-31, KM 328;VALL-LLOBREGA · PALAMÓS;17253;Girona
Camping 3 Estrellas - Mediteraneo;;https://www.tresestrellascampings.com/mediterraneo-castellon-valencia/;;AV. MARE NOSTRUM S/N;Xilxes;12592;Castellón
Camping 3 Estrellas - Mequinenza;;https://www.tresestrellascampings.com/mequinenza/;;CARRETERA FRAGA, S/N, KM 314;Mequinenza;50170;Zaragoza
Camping Alegría del Mar;info@campingalegria.com;https://www.campingalegria.com/;;Ctra Nacional 340A (km 1046);Benicarló;12580;Castellón
Camping Altomira;reservas@campingaltomira.com;https://www.campingaltomira.com/;;A-23 Sagunto-Teruel, salida km. 33 Navajas. Carretera CV-213 Navajas Km. 1;Navajas;12470;Castellón
Camping Amfora;info@campingamfora.com;https://www.campingamfora.com/es/;;Carrer de Josep Tarradellas, 2;Sant Pere Pescador;17470;Girona
Camping Begur;info@campingbegur.com;https://campingbegur.com/;;Ctra. d'Esclanyà Km.2, GPS: 41.9404º N – 3.1989ºE;Begur;17255;Girona
Camping Bell Sol;info@campingbellsol.com;https://campingbellsol.com/;;Passeig Marítim 46;Pineda de Mar;8397;Barcelona
Camping Blanes;info@campingblanes.com;https://www.campingblanes.com/es;;Avda. Villa de Madrid 33;Blanes;17300;Girona
Camping Bungalow Globo;info@campingglobo.com;https://www.campingglobobarcelona.com/;;Ctra. N-II km 660.9, GPS: 41º 35′ 27″ / 2º 35′ 30″;Canet de Mar;8360;Barcelona
Camping Ciudad de Zaragoza;info@zaragozacamping.com;https://zaragozacamping.com/;;C. de San Juan Bautista de la Salle s/n;Casablanca;50012;Zaragoza
Camping Clara;info@campingclara.com;https://campingclara.com/en/;;Passeig de Miramar, 276;Torredembarra;43830;Tarragona
Camping El Helguero;reservas@campingelhelguero.com;https://www.campingelhelguero.com/;;C/ El Helguero, s/n;RUILOBA;39527;Cantabria
Camping Estanyet;reservas@estanyet.com;https://www.estanyet.com/;;Passeig del, Av. del Marjal, s/n;Les Cases d'Alcanar;43569;Tarragona
Camping Estrella De Mar;info@caesmar.com;https://campingestrellademar.com/;;Autovía de Castelldefels C-31 km 16;Castelldefels;8860;Barcelona
Camping Etxarri;info@campingetxarri.com;https://campingetxarri.com/;;Paraje de Danbolintxulo, s/n;Etxarri Aranatz;31820;Navarra
Camping La Bella Vista;camping@campinglabellavista.com;https://www.campinglabellavista.com/;;Crta. Nacional 340 km. 142;Manilva;29691;Malaga
Camping La Media Legua;lamedialegua@sun-confort.com;https://lamedialeguacamping.com/es;;Pda. La Media Legua, Av. de l'Albir, S.N;Benidorm;3503;Alicante
Camping La Pineda de Salou;info@campinglapineda.com;https://campinglapineda.com/;;Crta. Costa Tarragona a Salou, km. 5;La Pineda;43481;Tarragona
CAMPING LAS PALMERAS;https://www.laspalmeras.com/;https://www.laspalmeras.com/;;N-340, km 1168, 41°07'49.0″N 1°18'43.0″E;Tarragona;43007;Tarrangona
Camping Lloret Blau;info@campinglloretblau.com;https://www.campinglloretblau.com/;;Carrer Aiguaviva S/N;Lloret de Mar;17310;Girona
Camping Mas Nou;info@campingmasnou.com;https://www.campingmasnou.com/es/;;C/ Mas Nou, 7, Latitud: 42º 15' 56'' N Longitud: 3º 06' 09'' E;Castelló d'Empúries Costa Brava;17486;Girona
Camping Mas Patoxas;info@campingmaspatoxas.com;https://www.campingmaspatoxas.com/;;Ctra. C-31 Palafrugell - Pals km.339;Pals;17256;Girona
Camping Platja Cambrils;info@platjacambrils.com;https://www.playacambrils.com/;;Av. Oleastrum, 12;Cambrils;43850;Tarragona
Camping Playa de Poniente;info@campingplayadeponiente.com;https://campingplayaponiente.com;;Playa de Poniente s/n.;Motril;18613;Granada
Camping Playa Las Dunas;info@lasdunascamping.com;https://www.lasdunascamping.com/;;Paseo Marítimo Playa de La Puntilla s/n;El Puerto de Santa María;11500;Cádiz
Camping Playa Tropicana;info@playatropicana.com;https://www.campingplayatropicana.com/;;Camino de l'atall s/n;Alcossebre;12579;Castellón
Camping Resort Els Pins;pinsresort@campingelspins.es;https://campingelspins.es/;;Camí de Mas Bagés;Malgrat de Mar;8380;Barcelona
Camping RIO VERO;info@campingriovero.com;https://www.campingriovero.com/;;Carretera Puente de Colungo s/n;Alquézar;22145;Huesca
Camping Santa Elena Ciutat;info@campingsantaelena.com;https://campingsantaelena.com/;;Avda. Vila de Blanes 166-168;Lloret de Mar;17310;Girona
Camping Trevélez;info@campingtrevelez.com;https://www.campingtrevelez.com/;;Ctra Trevélez-Orgiva, Km. 32,5;Trevélez;18417;Granada
Camping Verneda;info@campingverneda.com;;;Ctra. N-230 Km. 171;Pont d'Arròs;25537;Lleida
Camping Virgen Del Mar;cvirdmar@ceoecant.es;https://www.campingvirgendelmar.com/;;Av. Virgen del Mar 60;Santander;39012;Cantabria
FozCamp;info@campingfoz.com;https://campingfoz.com/;;Estrada Rapadoira - Llas 7;Foz;27780;Lugo
Kikopark Playa;info@kikopark.com;https://kikopark.com/;;Carrer de l'Assagador de Carro, 2;Oliva;46780;València
Málaga Monte Parc;info@malagamonteparc.com;https://malagamonteparc.com/;;Arroyo Hondo;Alhaurin de la Torres;29130;Malaga
Sierra de Albarracín Las Corralizas;reservas@lascorralizas.com;https://www.lascorralizas.com/;;Carretera Fuente del Canto km 1.5;Brochales - Sierra de Albarracín;44367;Teruel
TAIGA Almería Playa;hola.almeria@taigaresorts.com;https://www.taigaresorts.com/almeria.html;+34 951 20 45 31;Ctra de Garrucha a Villaricos S/N;Palomares;4617;Almería
TAIGA Conil;hola.conil@taigaresorts.com;https://www.taigaresorts.com/;+34 951 20 45 31;Hi Juela de la Mirla, 86;Conil de la Frontera;11140;Cádiz
TAIGA Delta de l'Ebre;hola.ebre@taigaresorts.com;https://www.taigaresorts.com/;+34 951 20 45 31;Passeig Platja Arenal, 30;L'Ampolla;43895;Tarragona
TAIGA Delta Cadiz;hola.cadiz@taigaresorts.com;https://www.taigaresorts.com/;+34 951 20 45 31;N-340, kilómetro 74;Tarifa;11380;Cádiz
TAIGA Lake Caspe;hola.caspe@taigaresorts.com;https://www.taigaresorts.com/;+34 951 20 45 31;Carretera Nacional 211, km 286.700;Caspe;50700;Zaragoza
TAIGA Tarifa;hola.tarifa@taigaresorts.com;https://www.taigaresorts.com/;+34 951 20 45 31;;;;
Wecamp Cabo de Gata;info@wecamp.net;https://wecamp.net/destinos/cabo-de-gata;;Cala del Cuervo, s/n;Las Negras;4116;Almería
Wecamp Cala Montgó;info@wecamp.net;https://wecamp.net/destinos/cala-montgo;936268900;Avenida de Montgó, s/n;L'Escala;17130; Girona
Wecamp Camping Repos de Pedraforca;info@wecamp.net;;;N-260, km 442;Boltaña;22340;Huesca
Wecamp Cudillero;info@wecamp.net;https://wecamp.net/destinos/cudillero;;Playa del Aguilar;Cudillero;33150;Asturias
Camping Jávea;info@campingjavea.es;https://www.campingjavea.es/;;Camí de la Fontana 10;Jávea / Xábia;3730;Alicante
Wecamp Pirineos;info@wecamp.net;;;N-260, km 442;Boltaña;22340;Huesca
